Nombre,Domicilio,Localidad,Departamento,Provincia,Otro Domicilio,Piso,CP,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,Actividad Específica,Denominación Específica,Fuente,Sector,Categoría,Cantidad de exposiciones en el último año,Área (m²),Referente,Cantidad de artistas que expusieron en el último año
"Colección Alvear Zurbarán","Av. Alvear 1658","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1014","","jzenteno@zurbaran.com.ar","http://www.zurbaran.com.ar/","","-34.58947070000000000000","-58.38639230000000000000","","","Arte On line - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Colectivo Periferia","Wenceslao Villafañe 101","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1160","11 1559512419","colectivoperiferia.org@gmail.com","https://www.facebook.com/colectivoperiferia/","","-34.63044270000000000000","-58.35715170000000000000","","","Buenos Aires Data - Relevamiento SINCA","Artes Visuales","Galeria de arte","0","0","",""
"Constitución Galería","Del Valle Iberlucea 1140","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1160","1138656162","espacioconstitucion@gmail.com","https://www.facebook.com/constituciongaleria/","","-34.63823140000000000000","-58.36254870000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Cosmocosa","Montevideo 1430","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","P.B.","1021","1148116808","info@cosmocosa.com","https://www.facebook.com/cosmocosa","","-34.59302380000000000000","-58.38975670000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Cre-Arte Argentina","Carlos Pellegrinio 877","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1009","","crearteargentina.rlp@gmail.com","https://www.facebook.com/Cre-Arte-Argentina","","-34.59824810000000000000","-58.38125540000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Dain, Usina Cultural","Nicaragua 4899","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","1147783554","pedidosdain@gmail.com","https://www.facebook.com/dain.usinacultural/","","-34.58597880000000000000","-58.42799930000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"De Santi Galería De Arte","Esmeralda 982","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1007","1143142049","galeria@desanti.com.ar","","","-34.59667590000000000000","-58.37853100000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Del Infinito Arte","Av. Quintana 325","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","P.B.","1014","1148138828","galeria@delinfinito.com","http://www.delinfinito.com/","","-34.58975150000000000000","-58.38820950000000000000","","","Arte On line","Artes Visuales","Galeria de arte","0","0","",""
"Del Riachuelo Espacio de Arte","Av. Pedro de Mendoza 1887","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1169","1143027053","","Facebook: Del Riachuelo. Espacio de Arte.","","-34.63929530000000000000","-58.36158460000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"El Mirador","Brasil 301","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1154","","info@elmiradorespacio.com","http://www.elmiradorespacio.com/","","-34.62526860000000000000","-58.36973390000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"El Socorro","Suipacha 1331","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1011","1143270717","","","","-34.59244400000000000000","-58.37998600000000000000","","","AAGA - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"El Sótano Art Gallery","Soler 4802","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","","elsotanoartspace@gmail.com","https://www.instagram.com/sotano.arte/","","-34.58595210000000000000","-58.42626320000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Elsi Del Río","Dorrego 1940","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","1148990171","info@elsidelrio.com.ar","http://www.elsidelrio.com.ar/","","-34.57936630000000000000","-58.44152480000000000000","","","Buenos Aires Data - Relevamiento SInCA 2022","Artes Visuales","Galeria de arte","0","0","",""
"Ernesto Catena Fotografía Contemporánea","Honduras 4882","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","1°","1414","1148339499","info@ecfotografiacontemporanea.com","https://www.ecfotografiacontemporanea.com/","","-34.58960750000000000000","-58.42915130000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Espacio 10 Art Gallery","Guatemala 4757","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","1148310520","info@espacio10arte.com.ar","WWW.ESPACIO10.COM.AR","","-34.58582870000000000000","-58.42500180000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Espacio Biazzi Zanni","Defensa 763","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1065","1143616809","info@biazzi.com.ar","https://www.facebook.com/espacio.biazzi","","-34.61685030000000000000","-58.37179320000000000000","","","Relevamiento SInCA 2016","Artes Visuales","Galeria de arte","0","0","",""
"Espacio Cabutia","Arenales 1239","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","PB H","1061","","contacto@espaciocabutia.com","https://www.facebook.com/espaciocabutia/","","-34.59444330000000000000","-58.38494510000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Espacio Colegiales","Gral. Enrique Martínez 916","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1426","1152175826","arte@espaciocolegiales.com.ar","http://www.espaciocolegiales.com.ar/","","-34.57698550000000000000","-58.45421780000000000000","","","Arte On line","Artes Visuales","Galeria de arte","0","0","",""
"Espacio De Arte Banco Ciudad","Esmeralda 660","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1007","1143298532","","www.bancociudad.com.ar","","-34.60049100000000000000","-58.37842450000000000000","","","AAGA - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Espacio Ftalo","Gorriti 3864","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1172","","espacioftalo@hotmail.com","https://www.facebook.com/espacioftalo/","","-34.59549210000000000000","-58.41927220000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Espacio Los Vikings","Viamonte 1145","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1053","","alegrelinares@gmail.com","https://gallery.com.ar/espacio-los-vikings","","-34.60031590000000000000","-58.38315140000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"F/O Objetos Y Teorías","Magallanes 802","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1166","111558942210","fo.objetosyteorias@gmail.com","https://www.facebook.com/FOobjetosyteorias/","","-34.63948960000000000000","-58.36182320000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Fino 630","Enrique Finochietto 630","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1143","","espaciofinochietto@gmail.com","https://www.facebook.com/fino630.lacasaverde/","","-34.62843090000000000000","-58.37389030000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Francisco Traba Galería de Arte","Marcelo Torcuato de Alvear 819","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1058","1143118769","galeriaftraba@gmail.com","Facebook: Francisco Traba Galeria de Arte","","-34.59605910000000000000","-58.37874680000000000000","","","Relevamiento SInCA","Artes Visuales","Galeria de arte","0","0","",""
"Fundación Federico Jorge Klemm","Marcelo Torcuato de Alvear 626","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1058","1143123334","info@fundacionfjklemm.org","Facebook: Fundación Federico Jorge Klemm - Oficial","","-34.59636780000000000000","-58.37606990000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Fundación IDA","Jorge Newbery 3044","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1426","","info@fundacionida.org","https://www.facebook.com/idafundacion/","","-34.58862630000000000000","-58.45075560000000000000","","","Fondo Desarrollar 2020","Artes Visuales","Galeria de arte","0","0","",""
"Fundación PROA","Av. Pedro de Mendoza 1929","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1169","1141041000","info@proa.org","https://www.facebook.com/FundacionProa/","","-34.63962810000000000000","-58.36172840000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Gachi Prieto Gallery, Contemporary Latin American Art","Uriarte 1373","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","1147746656","info@gachiprieto.com","https://www.facebook.com/gachiprieto/","","-34.58887740000000000000","-58.43434570000000000000","","","Arte On line - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería 713 Arte Contemporáneo","Defensa 713","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1098","","info@arte713.com","","","-34.61624570000000000000","-58.37174940000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería Arte x Arte","Lavalleja 1062","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","","info@artexarte.com.ar","https://www.facebook.com/artexarteespacio/","","-34.59700660000000000000","-58.42843360000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería Azur","Arenales 867","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1007","","mensajes@galeriaazur.com","https://www.facebook.com/azurgaleria/","","-34.59381730000000000000","-58.37953070000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería Braque","Salta 695","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1074","","info@artebraque.com.ar","http://www.artebraque.com.ar/","","-34.61621980000000000000","-58.38323790000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería Buenos Aires Sur","Bolívar 1268","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1141","","","https://www.facebook.com/galeriabuenosairessur/","","-34.62278880000000000000","-58.37271500000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería Cecilia Caballero","Suipacha 1151","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1008","1143930660","galeriaceciliacaballero@gmail.com","https://www.facebook.com/galeriaceciliacaballero","","-34.59443900000000000000","-58.37986990000000000000","","","Relevamiento SInCA 2022","Artes Visuales","Galeria de arte","0","0","",""
"Galería Dabbah Torrejón","El Salvador 5176","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","","info@dabbahtorrejon.com.ar","https://www.facebook.com/Dabbah-Torrej","","-34.58636960000000000000","-58.43166030000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería de Arte Alejandra Perotti","Zabala 3093","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1427","1145530923","arteperotti@gmail.com","Facebook: Espacio Alejandra Perotti","","-34.57408170000000000000","-58.45416490000000000000","","","AAGA","Artes Visuales","Galeria de arte","0","0","",""
"Galería de Arte Karina Paradiso","Av. del Libertador 4700","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1426","","","","","-34.56578100000000000000","-58.43329070000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Galería De Arte Leonardo Da Vinci","Libertad 1222","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1012","1148168641","","","","-34.59412260000000000000","-58.38447600000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
